Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
AVADA - Best Sellers,Activia,Activia · Random Flavor Probiotic Yogurt (4*100g),,,1.78 CAD,2023-11-07T00:57:20Z,0
AVADA - Best Sellers,Ambpozial,Ambpozial · Mango & Passionfruit Flavor Yoghurt (10*230g),,安慕希 · 芒果百香果味酸奶(10*230g),N/A,2023-11-07T05:34:50Z,3
AVADA - Best Sellers,Ambpozial,Ambpozial · Mango & Oat Greek Flavor Yoghurt (10*200g),,安慕希 · 芒果燕麦酸奶 (10*200g),N/A,2023-11-07T05:34:51Z,3
AVADA - Best Sellers,Ambpozial,Ambpozial · Strawberry & Oat Greek Flavor Yoghurt (10*200g),,安慕希 · 草莓燕麦味酸奶 (10*200g),N/A,2023-11-07T05:34:51Z,3
AVADA - Best Sellers,Anjoy,Anjoy · Cheese Ball (160g),,安井 · 芝士包 (160g),N/A,2023-12-27T20:04:13Z,0
AVADA - Best Sellers,Anjoy,Anjoy · Three-Color Cheese Rice Cake (500g),,安井 • 三色芝士年糕 (500g),N/A,2023-12-27T20:05:46Z,0
AVADA - Best Sellers,AoXue,AoXue · Watermelon Ice Bar (4*78g),,奥雪 · 西瓜味冰棍 (4*78g),N/A,2023-12-27T20:06:16Z,3
AVADA - Best Sellers,Applewood,Applewood · Butane Gas(4*227g),,Applewood · 瓦斯罐 (4*227g),4.71 CAD,2023-12-27T20:07:05Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Korean Style Spicy Chicken Ramen (5*112g),,"方便面, 白象 · 大辣娇韩式火鸡拌面 (5*112g)",N/A,2024-01-09T09:21:26Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Spicy Beef Flavor Instant Noodles (111g*5),,白象 ·  辣牛肉味方便面 (111g*5),4.5 CAD,2023-12-09T09:51:21Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Chicken Flavor Instant Noodles (111g*5),,白象 ·  老母鸡味方便面 (111g*5),4.5 CAD,2023-12-09T09:48:57Z,0
