Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
AVADA - Best Sellers,Activia,Activia · Random Flavor Probiotic Yogurt (4*100g),No Variant,,1.78 CAD,2023-11-07T00:57:20Z,0
AVADA - Best Sellers,Ambpozial,Ambpozial · Mango & Passionfruit Flavor Yoghurt (10*230g),No Variant,安慕希 · 芒果百香果味酸奶(10*230g),N/A,2023-11-07T05:34:50Z,3
AVADA - Best Sellers,Ambpozial,Ambpozial · Mango & Oat Greek Flavor Yoghurt (10*200g),No Variant,安慕希 · 芒果燕麦酸奶 (10*200g),N/A,2023-11-07T05:34:51Z,3
AVADA - Best Sellers,Ambpozial,Ambpozial · Strawberry & Oat Greek Flavor Yoghurt (10*200g),No Variant,安慕希 · 草莓燕麦味酸奶 (10*200g),N/A,2023-11-07T05:34:51Z,3
AVADA - Best Sellers,Anjoy,Anjoy · Cheese Ball (160g),No Variant,安井 · 芝士包 (160g),N/A,2023-12-27T20:04:13Z,0
AVADA - Best Sellers,Anjoy,Anjoy · Three-Color Cheese Rice Cake (500g),No Variant,安井 • 三色芝士年糕 (500g),N/A,2023-12-27T20:05:46Z,0
AVADA - Best Sellers,AoXue,AoXue · Watermelon Ice Bar (4*78g),No Variant,奥雪 · 西瓜味冰棍 (4*78g),N/A,2023-12-27T20:06:16Z,4
AVADA - Best Sellers,Applewood,Applewood · Butane Gas(4*227g),No Variant,Applewood · 瓦斯罐 (4*227g),4.71 CAD,2023-12-27T20:07:05Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Korean Style Spicy Chicken Ramen (5*112g),No Variant,"方便面, 白象 · 大辣娇韩式火鸡拌面 (5*112g)",N/A,2024-01-09T09:21:26Z,5
AVADA - Best Sellers,BaiXiang,BaiXiang · Spicy Beef Flavor Instant Noodles (111g*5),No Variant,白象 ·  辣牛肉味方便面 (111g*5),4.5 CAD,2023-12-09T09:51:21Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Chicken Flavor Instant Noodles (111g*5),No Variant,白象 ·  老母鸡味方便面 (111g*5),4.5 CAD,2023-12-09T09:48:57Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Signature Pork Bone Flavor Instant Noodles (111g*5),No Variant,白象 · 招牌猪骨味方便面 (111g*5),4.5 CAD,2023-12-09T09:54:19Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Braised Beef Noodles (120g*5),No Variant,白象 · 红烧牛肉面 （120g*5),N/A,2023-12-24T22:51:10Z,0
AVADA - Best Sellers,Baijia,Baijia · Hot and Sour Flavor Instant Vermicelli (440g),No Variant,白家 · 嗦粉大将酸辣粉 (440g),4.5 CAD,2023-12-09T08:43:43Z,1
AVADA - Best Sellers,Baijia,Baijia · Seasame Flavor Instant Vermicelli (500g),No Variant,白家 · 嗦粉大将麻酱粉 (400g),4.5 CAD,2023-12-09T08:35:31Z,3
AVADA - Best Sellers,BaoXiaFan,BaoXiaFan · Chopped Pepper Sauce(200g),No Variant,暴下饭 · 剁椒酱 (200g),N/A,2023-12-27T20:22:37Z,0
AVADA - Best Sellers,Beatrice,Beatrice · 2% Chocolate Milk (2L),No Variant,Beatrice · 2% 巧克力奶 (2L),4.39 CAD,2023-12-27T20:23:10Z,0
AVADA - Best Sellers,Bestore,Bestore · Seaweed Flakes For Mixed Rice (72g),No Variant,良品铺子 · 拌饭海苔碎 (72g),4.5 CAD,2023-12-27T20:24:40Z,0
AVADA - Best Sellers,Bull Head,Bull Head · Sha Cha Sauce (127g),No Variant,牛头牌 · 沙茶酱（127g）,N/A,2023-12-27T20:30:12Z,0
AVADA - Best Sellers,CBL,CBL · DaJiang Soybean Paste (800g),No Variant,葱伴侣 · 大酱 (800g),3.5 CAD,2023-12-27T20:32:24Z,2
AVADA - Best Sellers,CBL,CBL · MianJiang Soybean Paste (800g),No Variant,葱伴侣 · 面酱 (800g),3.5 CAD,2023-12-27T20:32:37Z,4
AVADA - Best Sellers,Calbee,Calbee · Fruit Oatmeal (750g),No Variant,卡乐比 · 营养早餐麦片 (750g),N/A,2023-12-27T20:30:27Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,Purple Grape,"超友味 · 剥皮水果软糖系列, 紫提葡萄",1.5 CAD,2023-12-27T20:36:15Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,Green Grape,"超友味 · 剥皮水果软糖系列, 青提葡萄",1.5 CAD,2023-12-27T20:36:15Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,Peach,"超友味 · 剥皮水果软糖系列, 水蜜桃",1.5 CAD,2023-12-27T20:35:41Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,Lychee,"超友味 · 剥皮水果软糖系列, 荔枝",1.5 CAD,2023-12-27T20:35:41Z,0
AVADA - Best Sellers,ChungJungOne,ChungJungOne · Premium Pork Canned Meat (340g),No Variant,清净园 · 优质午餐肉罐头 (340g),N/A,2023-12-27T20:42:59Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · Chili Dipping Sauce (10*10g),No Variant,翠宏 · 香辣蘸料（10*10g）,N/A,2023-12-27T20:46:43Z,2
AVADA - Best Sellers,Cui Hong,Cui Hong · 6+1 Chili Dipping Sauce (100g),No Variant,翠宏 · 麻辣6+1蘸水（100g）,N/A,2023-12-27T20:46:28Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · Old Style Chili Dipping Sauce (10*10g),No Variant,翠宏 · 老味干碟（10*10g）,N/A,2023-12-27T20:47:28Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · Red Oil Chili Powder 1：10 (100g),No Variant,翠宏 · 红油辣椒面1：10（100g）,N/A,2023-12-27T20:47:43Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · 2 in 1 BBQ Seasoning (200g),No Variant,翠宏 · 烧烤二合一调味料（200g）,N/A,2023-12-27T20:46:15Z,0
AVADA - Best Sellers,Dan'd,Dan'd · Organic Chestnuts (100g),No Variant,Dan'd · 即食有机板栗 (100g),N/A,2023-12-27T20:55:59Z,0
AVADA - Best Sellers,Dempster’s,Dempster’s · Whole Wheat Bread (675g),No Variant,登普斯特 · 全麦面包 (675g),1.66 CAD,2023-12-27T20:57:34Z,0
AVADA - Best Sellers,Dempster’s,Dempster’s · White Bread (675g),No Variant,登普斯特 · 白面包 (675g),1.66 CAD,2023-12-27T20:57:50Z,0
AVADA - Best Sellers,Dettol,Dettol · Lavender Laundry Sanitizer (1.5L),No Variant,滴露 · 薰衣草味衣物除菌液 (1.5L),11.5 CAD,2023-12-27T20:59:02Z,1
AVADA - Best Sellers,Dom,Dom · Reserved Smoked Salmon (1*75g),No Variant,多姆 · 预留烟熏三文鱼（1*75g）,2.99 CAD,2023-12-27T21:02:19Z,1
AVADA - Best Sellers,DongGanDiDai,DongGanDiDai · Shrimp Balls With Lava Salted Egg Yolk (200g),No Variant,冻感地带 · 咸蛋流沙虾滑丸 (200g),4.5 CAD,2023-12-27T21:03:15Z,0
AVADA - Best Sellers,DongLaiShun,DongLaiShun · Sesame Peanut Flavor Hot Pot Dipping Sauce (168g),No Variant,东来顺 · 芝麻花生酱 (168g),2.3 CAD,2023-12-10T00:41:11Z,0
AVADA - Best Sellers,EB,EB · Lobster Ball (500g),No Variant,EB · 龙虾球（500g）,4.6 CAD,2023-12-27T21:06:28Z,0
AVADA - Best Sellers,EB,EB · Flower Cheese Tofu (380g),No Variant,EB · 芝芯豆腐 (380g),4.0 CAD,2023-12-16T04:42:48Z,0
AVADA - Best Sellers,EB,EB · Steamboat 5 in 1 (500g),No Variant,EB · 火锅五宝 (500g),4.9 CAD,2023-12-27T21:07:33Z,0
AVADA - Best Sellers,EB,EB · Fish Roe Lucky Bag (150g),No Variant,EB · 鱼籽福袋 (150g),4.1 CAD,2023-12-27T21:05:06Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),Enoki Mushrooms,"饭扫光 · 拌饭酱系列 (280g), 爆炒金针菇",2.3 CAD,2023-12-27T21:12:05Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),Black Fungus,"饭扫光 · 拌饭酱系列 (280g), 爽脆木耳",2.3 CAD,2023-12-27T21:12:05Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),Wild Bracken,"饭扫光 · 拌饭酱系列 (280g), 野蕨菜",2.3 CAD,2023-12-27T21:11:33Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),Preserved Mushrooms,"饭扫光 · 拌饭酱系列 (280g), 野香菌",2.3 CAD,2023-12-27T21:10:47Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),Preserved Bamboo Shoot,"饭扫光 · 拌饭酱系列 (280g), 野竹笋",2.3 CAD,2023-12-27T21:10:28Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),Preserved Cabbage,"饭扫光 · 拌饭酱系列 (280g), 香辣大头菜",2.3 CAD,2023-12-27T21:10:10Z,5
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),Preserved Radish,"饭扫光 · 拌饭酱系列 (280g), 脆萝卜",2.3 CAD,2023-12-27T21:09:54Z,0
AVADA - Best Sellers,Fang Zhong Shan,Fang Zhong Shan · Spicy Soup With Pepper Series,Seaweed&Beef,,3.5 CAD,2023-11-08T23:14:23Z,0
AVADA - Best Sellers,Fang Zhong Shan,Fang Zhong Shan · Spicy Soup With Pepper Series,Mushroom&Beef,,3.5 CAD,2023-11-08T23:14:23Z,0
AVADA - Best Sellers,GHCJ,GHCJ · Two-Flavor Hot Pot (30cm),No Variant,广海 · 鸳鸯锅 (30cm),N/A,2023-11-17T04:25:06Z,1
AVADA - Best Sellers,Goosun,Goosun · Preserved Duck Eggs (6*62.5g),No Variant,光明 · 无铅海鸭皮蛋 (6*62.5g),N/A,2023-11-01T02:53:53Z,0
AVADA - Best Sellers,HST,HST · Honey Tea Series (500g),Peach Oolong,"恒寿堂 · 蜜炼茶系列 (500g), 蜜桃乌龙",N/A,2023-10-31T11:22:44Z,0
AVADA - Best Sellers,HST,HST · Honey Tea Series (500g),Grapefruit,"恒寿堂 · 蜜炼茶系列 (500g), 柚子茶",6.99 CAD,2023-10-31T11:22:45Z,0
AVADA - Best Sellers,HST,HST · Honey Tea Series (500g),Grapefruit & Lemon,"恒寿堂 · 蜜炼茶系列 (500g), 柚子柠檬",6.99 CAD,2023-10-31T11:22:45Z,2
