product,﻿Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
out-of-stock items that gets re-stocked,,,,,,,,
成功补货的产品,,,,,,,,
,AVADA - Best Sellers,Master Kong,Master Kong · Braised Beef Instant Noodle (5*104g),No Variant,康师傅 · 红烧牛肉面 (5*104g),N/A,2023-12-27T19:53:52Z,0
,Bean Curds & Konjac Snacks,Wei Long,Wei Long · Mixed Flavor Kiss Burns(260g),No Variant,卫龙 · 多彩混合装亲嘴烧 (260g),3.0 CAD,2023-12-27T19:58:06Z,0
,Onion & Garlic & Ginger,Unknown,Garlic Stem（2 Bunches）,No Variant,新鲜蒜苔(2捆),N/A,2023-11-09T00:01:37Z,0
,Chicken,Unknown,Frozen Premium Boneless Chicken Breast,About 620g/Pack,"冷冻特级无骨去皮鸡胸肉, 约 620g/份",N/A,2024-01-27T14:31:55Z,2
,Pancakes & Pies,BSY,BSY · Frozen Kusa Mochi (360g),No Variant,半淞园 · 艾草豆沙青团 (360g),2.8 CAD,2024-02-02T06:29:24Z,0
,AVADA - Best Sellers,Samyang,Samyang · Stew Type Buldak Hot Chicken Ramen (5*140g),No Variant,三养 · 韩式汤面味火鸡面 （5*140g）,N/A,2023-11-07T05:34:30Z,0
,Pork,Unknown,Frozen Slices Pork Belly (Skin Off),1LB,"冷冻切片猪五花肉 , 1磅",4.99 CAD,2024-02-08T03:30:15Z,2
,Beef,Unknown,Frozen Beef Oxtail (2LB/Pack),No Variant,冷冻牛尾 (约2LB/份),8.49 CAD,2024-02-08T16:21:27Z,4
,Asian Herbs & Dried Foods,Joy Share,Joy Share · Cooked Salted Duck Egg 6pc (375g),No Variant,"南北干货, 乐享 · 熟红心咸鸭蛋 (375g)",2.7 CAD,2024-01-11T02:09:08Z,0
,Weekly Special Fruit,Unknown,Chinese Wu Yan Orange 2pcs,1 Box,中国中荔无艳柑 2颗,22.0 CAD,2024-03-12T19:44:10Z,2
,hot sauce & chili oil,Arawana,Arawana · Vine Pepper Oil (220ml),No Variant,金龙鱼 · 藤椒油（220ml）,4.0 CAD,2023-12-27T20:09:02Z,0
,Asian Herbs & Dried Foods,Joy Share,Joy Share · Preserved Duck Eggs 6pc (375g),No Variant,"南北干货, 乐享 · 松花皮蛋6颗装 (375g)",2.7 CAD,2024-01-11T02:03:37Z,0
,Dumplings & Wontons,San Quan,San Quan · Shepherd's Purse And Fish Meat Dumplings (306g),No Variant,三全 · 鲜食荠菜鱼肉饺子 (306g),3.8 CAD,2024-02-02T06:00:45Z,0
,AVADA - Best Sellers,YWYH,YWYH · Potato Vermicelli (270g),No Variant,一碗烟火 · 火锅土豆宽粉 (270g),N/A,2023-12-01T09:09:10Z,2
,Potato & Yam & Radish,Unknown,White Radish 2.0-2.5LB,No Variant,新鲜白萝卜(大约2.0-2.5磅),N/A,2024-02-09T23:44:53Z,5
,Weekly Special Fruit,Unknown,Chinese Rock Sugar Orange 2.5kg,No Variant,中国箱装0永兴冰糖橙 2.5公斤,11.0 CAD,2024-03-03T09:22:18Z,0
,AVADA - Best Sellers,Master Kong,Master Kong · Mushroom & Chicken Instant Noodle (5*104g),No Variant,康师傅 · 香菇炖鸡面 (5*104g),N/A,2023-12-27T19:54:46Z,1
,Bean Curds & Konjac Snacks,Wei Long,Wei Long · Spicy Flavor Satisfying Konjac(252g),No Variant,卫龙 · 香辣味魔芋爽 (252g),3.6 CAD,2023-12-09T04:06:39Z,0
